Total documents: 104
Total buckets: 208
Candidate pairs: 695
Matches above threshold (0.5): 594

doc_000020.txt <-> doc_000084.txt : 1.0000
doc_000031.txt <-> doc_000084.txt : 0.5556
api_20260416_033932_359570.txt <-> doc_000082.txt : 0.7000
doc_000032.txt <-> doc_000049.txt : 1.0000
doc_000032.txt <-> doc_000067.txt : 1.0000
doc_000025.txt <-> doc_000028.txt : 1.0000
doc_000055.txt <-> doc_000078.txt : 1.0000
doc_000066.txt <-> doc_000078.txt : 1.0000
api_20260416_020230_731102.txt <-> doc_000001.txt : 1.0000
doc_000017.txt <-> doc_000042.txt : 1.0000
doc_000037.txt <-> doc_000047.txt : 1.0000
api_20260416_034703_810579.txt <-> doc_000055.txt : 1.0000
api_20260416_034719_769078.txt <-> doc_000020.txt : 1.0000
doc_000070.txt <-> doc_000071.txt : 1.0000
api_20260416_034703_810579.txt <-> doc_000064.txt : 0.5556
api_20260416_034719_769078.txt <-> doc_000038.txt : 0.7000
doc_000047.txt <-> doc_000096.txt : 1.0000
doc_000032.txt <-> doc_000053.txt : 1.0000
api_20260416_033932_359570.txt <-> doc_000095.txt : 0.7000
doc_000055.txt <-> doc_000064.txt : 0.5556
doc_000003.txt <-> doc_000026.txt : 1.0000
doc_000001.txt <-> doc_000056.txt : 0.7000
doc_000025.txt <-> doc_000032.txt : 1.0000
doc_000044.txt <-> doc_000045.txt : 0.5882
doc_000017.txt <-> doc_000028.txt : 0.7000
doc_000065.txt <-> doc_000086.txt : 1.0000
doc_000001.txt <-> doc_000092.txt : 0.5556
doc_000038.txt <-> doc_000078.txt : 0.7000
api_20260416_034703_810579.txt <-> doc_000023.txt : 1.0000
doc_000058.txt <-> doc_000074.txt : 0.7143
doc_000019.txt <-> doc_000073.txt : 1.0000
doc_000010.txt <-> doc_000015.txt : 1.0000
doc_000008.txt <-> doc_000091.txt : 1.0000
doc_000020.txt <-> doc_000056.txt : 0.7000
doc_000070.txt <-> doc_000075.txt : 0.5000
doc_000039.txt <-> doc_000069.txt : 0.5294
doc_000000.txt <-> doc_000096.txt : 0.7000
doc_000020.txt <-> doc_000092.txt : 0.5556
doc_000031.txt <-> doc_000092.txt : 1.0000
doc_000084.txt <-> doc_000095.txt : 0.7000
doc_000061.txt <-> doc_000093.txt : 0.7000
doc_000034.txt <-> doc_000094.txt : 0.5556
doc_000017.txt <-> doc_000032.txt : 0.7000
doc_000001.txt <-> doc_000078.txt : 1.0000
doc_000023.txt <-> doc_000084.txt : 1.0000
doc_000038.txt <-> doc_000082.txt : 1.0000
doc_000026.txt <-> doc_000080.txt : 1.0000
doc_000029.txt <-> doc_000033.txt : 0.5789
doc_000016.txt <-> doc_000063.txt : 1.0000
doc_000027.txt <-> doc_000063.txt : 1.0000
api_20260416_034719_769078.txt <-> doc_000001.txt : 1.0000
doc_000050.txt <-> doc_000083.txt : 0.6842
doc_000047.txt <-> doc_000059.txt : 0.7000
doc_000009.txt <-> doc_000042.txt : 1.0000
doc_000091.txt <-> doc_000093.txt : 0.5556
doc_000010.txt <-> doc_000028.txt : 0.7000
doc_000020.txt <-> doc_000078.txt : 1.0000
doc_000031.txt <-> doc_000078.txt : 0.5556
doc_000005.txt <-> doc_000026.txt : 0.7143
doc_000064.txt <-> doc_000084.txt : 0.5556
doc_000001.txt <-> doc_000055.txt : 1.0000
doc_000001.txt <-> doc_000064.txt : 0.5556
doc_000002.txt <-> doc_000029.txt : 1.0000
doc_000036.txt <-> doc_000040.txt : 1.0000
doc_000076.txt <-> doc_000085.txt : 1.0000
doc_000046.txt <-> doc_000081.txt : 0.5789
doc_000057.txt <-> doc_000090.txt : 0.7143
doc_000057.txt <-> doc_000099.txt : 0.7143
doc_000006.txt <-> doc_000026.txt : 1.0000
doc_000038.txt <-> doc_000095.txt : 1.0000
doc_000021.txt <-> doc_000024.txt : 0.7143
doc_000050.txt <-> doc_000060.txt : 0.5882
doc_000007.txt <-> doc_000089.txt : 1.0000
api_20260416_034703_810579.txt <-> doc_000031.txt : 0.5556
doc_000028.txt <-> doc_000032.txt : 1.0000
doc_000009.txt <-> doc_000028.txt : 0.7000
doc_000016.txt <-> doc_000076.txt : 0.5000
doc_000000.txt <-> doc_000059.txt : 1.0000
doc_000027.txt <-> doc_000076.txt : 0.5000
doc_000016.txt <-> doc_000085.txt : 0.5000
api_20260416_034719_769078.txt <-> doc_000014.txt : 0.7000
doc_000047.txt <-> doc_000063.txt : 1.0000
api_20260416_033932_359570.txt <-> doc_000044.txt : 0.5556
doc_000027.txt <-> doc_000085.txt : 0.5000
doc_000020.txt <-> doc_000055.txt : 1.0000
doc_000031.txt <-> doc_000055.txt : 0.5556
doc_000060.txt <-> doc_000091.txt : 1.0000
doc_000041.txt <-> doc_000087.txt : 1.0000
doc_000020.txt <-> doc_000064.txt : 0.5556
doc_000031.txt <-> doc_000064.txt : 1.0000
doc_000061.txt <-> doc_000065.txt : 1.0000
doc_000030.txt <-> doc_000096.txt : 1.0000
doc_000001.txt <-> doc_000023.txt : 1.0000
doc_000034.txt <-> doc_000066.txt : 0.7000
doc_000034.txt <-> doc_000084.txt : 0.7000
doc_000005.txt <-> doc_000057.txt : 1.0000
doc_000023.txt <-> doc_000056.txt : 0.7000
doc_000002.txt <-> doc_000033.txt : 0.5789
doc_000004.txt <-> doc_000070.txt : 0.7000
api_20260416_034703_810579.txt <-> api_20260416_034719_769078.txt : 1.0000
api_20260416_020230_731102.txt <-> doc_000066.txt : 1.0000
doc_000079.txt <-> doc_000082.txt : 0.5556
doc_000023.txt <-> doc_000092.txt : 0.5556
api_20260416_020230_731102.txt <-> doc_000084.txt : 1.0000
doc_000071.txt <-> doc_000096.txt : 1.0000
doc_000020.txt <-> doc_000023.txt : 1.0000
doc_000016.txt <-> doc_000071.txt : 1.0000
doc_000027.txt <-> doc_000071.txt : 1.0000
doc_000009.txt <-> doc_000032.txt : 0.7000
