doc1,doc2,similarity
api_20260416_020230_731102,api_20260416_033932_359570,1.0
api_20260416_033932_359570,api_20260416_034703_810579,1.0
api_20260416_020230_731102,api_20260416_034703_810579,1.0
api_20260416_034703_810579,api_20260416_034719_769078,1.0
api_20260416_033932_359570,api_20260416_034719_769078,1.0
api_20260416_020230_731102,api_20260416_034719_769078,1.0
api_20260416_034719_769078,doc_000001,1.0
api_20260416_034703_810579,doc_000001,1.0
api_20260416_033932_359570,doc_000001,1.0
api_20260416_020230_731102,doc_000001,1.0
doc_000002,doc_000029,0.9047619047619048
doc_000002,doc_000051,0.9047619047619048
doc_000029,doc_000051,0.9047619047619048
doc_000002,doc_000058,0.9047619047619048
doc_000051,doc_000058,0.9047619047619048
doc_000029,doc_000058,0.9047619047619048
doc_000002,doc_000068,0.9047619047619048
doc_000058,doc_000068,0.9047619047619048
doc_000051,doc_000068,0.9047619047619048
doc_000029,doc_000068,0.9047619047619048
doc_000002,doc_000074,0.9047619047619048
doc_000068,doc_000074,0.9047619047619048
doc_000058,doc_000074,0.9047619047619048
doc_000051,doc_000074,0.9047619047619048
doc_000029,doc_000074,0.9047619047619048
doc_000002,doc_000098,0.9047619047619048
doc_000074,doc_000098,0.9047619047619048
doc_000068,doc_000098,0.9047619047619048
doc_000058,doc_000098,0.9047619047619048
doc_000051,doc_000098,0.9047619047619048
doc_000029,doc_000098,0.9047619047619048
doc_000007,doc_000021,0.9047619047619048
doc_000007,doc_000024,0.9047619047619048
doc_000021,doc_000024,0.9047619047619048
doc_000006,doc_000026,0.9047619047619048
doc_000005,doc_000026,0.9047619047619048
doc_000003,doc_000026,0.9047619047619048
doc_000007,doc_000046,0.9047619047619048
doc_000021,doc_000046,0.9047619047619048
doc_000024,doc_000046,0.9047619047619048
doc_000006,doc_000057,0.9047619047619048
doc_000005,doc_000057,0.9047619047619048
doc_000003,doc_000057,0.9047619047619048
doc_000026,doc_000057,0.9047619047619048
doc_000006,doc_000080,0.9047619047619048
doc_000005,doc_000080,0.9047619047619048
doc_000003,doc_000080,0.9047619047619048
